# 地点选项 / Location Options
中国，长城 (China, Great Wall)
冰岛，冰岛黄金圈 (Iceland, Golden Circle, Iceland)
冰岛，冰岛蓝湖 (Iceland, Blue Lagoon, Iceland)
爱尔兰，爱尔兰巨人之路 (Ireland, Giant's Causeway)
英国，苏格兰高地 (United Kingdom, Scottish Highlands)
多国，北极光观测点 (Multiple Countries, Northern Lights Observatory)
多国，凯尔特海 (Multiple Countries, Celtic Sea)
克罗地亚，克罗地亚普利特维采湖 (Croatia, Plitvice Lakes, Croatia)
意大利，威尼斯 (Italy, Venice)
葡萄牙，佩纳宫 (Portugal, Pena Palace)
比利时，布鲁塞尔大广场 (Belgium, Grand Place)
荷兰，阿姆斯特丹运河 (Netherlands, Amsterdam Canals)
梵蒂冈，圣彼得大教堂 (Vatican, St. Peter's Basilica)
美国，金门大桥 (United States, Golden Gate Bridge)
美国，大峡谷 (United States, Grand Canyon)
美国，自由女神像 (United States, Statue of Liberty)
美国，纽约中央公园 (United States, Central Park)
美国，华盛顿纪念碑 (United States, Washington Monument)
美国，林肯纪念堂 (United States, Lincoln Memorial)
美国，白宫 (United States, White House)
美国，芝加哥云门 (United States, Cloud Gate)
美国，好莱坞标志 (United States, Hollywood Sign)
美国，拉斯维加斯大道 (United States, Las Vegas Strip)
美国，旧金山渔人码头 (United States, Fisherman's Wharf)
美国，西雅图太空针塔 (United States, Space Needle)
美国，波士顿自由之路 (United States, Freedom Trail)
美国，费城自由钟 (United States, Liberty Bell)
美国，尼亚加拉大瀑布 (United States, Niagara Falls)
美国，黄石国家公园 (United States, Yellowstone National Park)
美国，夏威夷火山国家公园 (United States, Hawaii Volcanoes National Park)
加拿大，多伦多CN塔 (Canada, CN Tower)
加拿大，温哥华斯坦利公园 (Canada, Stanley Park)
加拿大，蒙特利尔圣母大教堂 (Canada, Notre-Dame Basilica)
加拿大，魁北克老城 (Canada, Old Quebec)
加拿大，班夫国家公园 (Canada, Banff National Park)
墨西哥，墨西哥城宪法广场 (Mexico, Zócalo)
墨西哥，奇琴伊察 (Mexico, Chichen Itza)
墨西哥，特奥蒂瓦坎 (Mexico, Teotihuacan)
墨西哥，瓜纳华托 (Mexico, Guanajuato)
秘鲁，马丘比丘 (Peru, Machu Picchu)
秘鲁，库斯科古城 (Peru, Cusco)
巴西，里约热内卢基督像 (Brazil, Christ the Redeemer)
巴西，伊瓜苏瀑布 (Brazil, Iguazu Falls)
阿根廷，布宜诺斯艾利斯方尖碑 (Argentina, Obelisco)
智利，圣地亚哥武器广场 (Chile, Plaza de Armas)
智利，复活节岛摩艾石像 (Chile, Moai)
玻利维亚，乌尤尼盐沼 (Bolivia, Uyuni Salt Flats)
厄瓜多尔，加拉帕戈斯群岛 (Ecuador, Galapagos Islands)
埃及，金字塔 (Egypt, Pyramids of Giza)
埃及，狮身人面像 (Egypt, Great Sphinx of Giza)
埃及，卡纳克神庙 (Egypt, Karnak Temple)
埃及，帝王谷 (Egypt, Valley of the Kings)
埃及，卢克索神庙 (Egypt, Luxor temple)
埃及，阿布辛贝神庙 (Egypt, Abu Simbel Temples)
埃及，亚历山大图书馆 (Egypt, Bibliotheca Alexandrina)
约旦，佩特拉古城 (Jordan, Petra)
约旦，瓦迪拉姆沙漠 (Jordan, Wadi Rum)
以色列，耶路撒冷哭墙 (Israel, Western Wall)
以色列，死海 (Israel, Dead Sea)
以色列，马萨达要塞 (Israel, Masada)
土耳其，卡帕多奇亚 (Turkey, Cappadocia)
土耳其，以弗所古城 (Turkey, Ephesus)
土耳其，圣索菲亚大教堂 (Turkey, Hagia Sophia)
土耳其，蓝色清真寺 (Turkey, Blue Mosque)
土耳其，托普卡帕宫 (Turkey, Topkapi Palace)
土耳其，棉花堡 (Turkey, Pamukkale)
土耳其，特洛伊古城 (Turkey, Troy)
阿联酋，迪拜哈利法塔 (UAE, Burj Khalifa)
阿联酋，迪拜帆船酒店 (UAE, Burj Al Arab)
阿联酋，阿布扎比大清真寺 (UAE, Sheikh Zayed Grand Mosque)
沙特阿拉伯，麦加禁寺 (Saudi Arabia, Masjid al-Haram)
沙特阿拉伯，麦地那先知清真寺 (Saudi Arabia, Al-Masjid an-Nabawi)
卡塔尔，多哈伊斯兰艺术博物馆 (Qatar, Museum of Islamic Art)
阿曼，尼兹瓦城堡 (Oman, Nizwa Fort)
伊朗，伊斯法罕伊玛目广场 (Iran, Naqsh-e Jahan Square)
伊朗，波斯波利斯 (Iran, Persepolis)
摩洛哥，马拉喀什杰马广场 (Morocco, Jemaa el-Fnaa)
摩洛哥，非斯古城 (Morocco, Fes el Bali)
摩洛哥，撒哈拉沙漠 (Morocco, Sahara Desert)
突尼斯，迦太基遗址 (Tunisia, Carthage Ruins)
阿尔及利亚，杰米拉古罗马遗址 (Algeria, Djemila)
肯尼亚，马赛马拉保护区 (Kenya, Masai Mara)
肯尼亚，肯尼亚山 (Kenya, Mount Kenya)
坦桑尼亚，塞伦盖蒂国家公园 (Tanzania, Serengeti National Park)
坦桑尼亚，乞力马扎罗山 (Tanzania, Mount Kilimanjaro)
坦桑尼亚，恩戈罗恩戈罗火山口 (Tanzania, Ngorongoro Crater)
南非，开普敦桌山 (South Africa, Table Mountain)
南非，克鲁格国家公园 (South Africa, Kruger National Park)
南非，好望角 (South Africa, Cape of Good Hope)
纳米比亚，纳米布沙漠 (Namibia, Namib Desert)
纳米比亚，死亡谷 (Namibia, Deadvlei)
博茨瓦纳，奥卡万戈三角洲 (Botswana, Okavango Delta)
赞比亚，维多利亚瀑布 (Zambia, Victoria Falls)
津巴布韦，维多利亚瀑布 (Zimbabwe, Victoria Falls)
埃塞俄比亚，拉利贝拉岩石教堂 (Ethiopia, Lalibela Rock-Hewn Churches)
马达加斯加，猴面包树大道 (Madagascar, Avenue of the Baobabs)
澳大利亚，悉尼歌剧院 (Australia, Sydney Opera House)
澳大利亚，悉尼海港大桥 (Australia, Sydney Harbour Bridge)
澳大利亚，大堡礁 (Australia, Great Barrier Reef)
澳大利亚，乌鲁鲁巨石 (Australia, Uluru)
澳大利亚，十二门徒岩 (Australia, Twelve Apostles)
澳大利亚，菲利普岛企鹅保护区 (Australia, Phillip Island Penguin Parade)
新西兰，皇后镇 (New Zealand, Queenstown)
新西兰，米尔福德峡湾 (New Zealand, Milford Sound)
新西兰，霍比特人村 (New Zealand, Hobbiton)
新西兰，罗托鲁瓦地热区 (New Zealand, Rotorua Geothermal Area)
新西兰，库克山 (New Zealand, Mount Cook)
斐济，玛玛卡岛 (Fiji, Mamanuca Islands)
汤加，哈阿派群岛 (Tonga, Ha'apai Islands)
萨摩亚，拉洛马努海滩 (Samoa, Lalomanu Beach)
塔希提，博拉博拉岛 (Tahiti, Bora Bora)
法属波利尼西亚，塔希提岛 (French Polynesia, Tahiti)
马尔代夫，马尔代夫群岛 (Maldives, Maldives)
斯里兰卡，狮子岩 (Sri Lanka, Sigiriya)
斯里兰卡，康提佛牙寺 (Sri Lanka, Temple of the Tooth)
斯里兰卡，加勒古城 (Sri Lanka, Galle Fort)
印度，泰姬陵 (India, Taj Mahal)
印度，阿旃陀石窟 (India, Ajanta Caves)
印度，埃洛拉石窟 (India, Ellora Caves)
印度，瓦拉纳西恒河 (India, Varanasi Ganges)
印度，斋浦尔风之宫 (India, Hawa Mahal)
印度，印度门 (India, India Gate)
印度，德里红堡 (India, Red Fort)
印度，克久拉霍神庙群 (India, Khajuraho Temples)
印度，果阿老城 (India, Old Goa)
印度，梅兰加尔古堡 (India, Mehrangarh Fort)
尼泊尔，加德满都杜巴广场 (Nepal, Kathmandu Durbar Square)
尼泊尔，博卡拉费瓦湖 (Nepal, Phewa Lake)
尼泊尔，珠穆朗玛峰大本营 (Nepal, Everest Base Camp)
不丹，帕罗虎穴寺 (Bhutan, Tiger's Nest Monastery)
孟加拉国，孙德尔本斯红树林 (Bangladesh, Sundarbans)
巴基斯坦，拉合尔古堡 (Pakistan, Lahore Fort)
巴基斯坦，费萨尔清真寺 (Pakistan, Faisal Mosque)
阿富汗，巴米扬大佛遗址 (Afghanistan, Buddhas of Bamiyan)
土库曼斯坦，地狱之门 (Turkmenistan, Door to Hell)
乌兹别克斯坦，撒马尔罕雷吉斯坦广场 (Uzbekistan, Registan Square)
乌兹别克斯坦，布哈拉古城 (Uzbekistan, Bukhara)
哈萨克斯坦，阿斯塔纳大汗帐篷娱乐中心 (Kazakhstan, Khan Shatyr Entertainment Center)
吉尔吉斯斯坦，伊塞克湖 (Kyrgyzstan, Issyk-Kul Lake)
塔吉克斯坦，帕米尔高原 (Tajikistan, Pamir Mountains)
阿塞拜疆，巴库火焰塔 (Azerbaijan, Flame Towers)
格鲁吉亚，第比利斯老城 (Georgia, Old Tbilisi)
亚美尼亚，塞凡湖 (Armenia, Lake Sevan)
哥伦比亚，卡塔赫纳古城 (Colombia, Cartagena)
哥伦比亚，麦德林康索塔大厦 (Colombia, Colpatria Tower)
委内瑞拉，安赫尔瀑布 (Venezuela, Angel Falls)
厄瓜多尔，基多老城 (Ecuador, Old Quito)
厄瓜多尔，科托帕希火山 (Ecuador, Cotopaxi)
秘鲁，马丘比丘 (Peru, Machu Picchu)
秘鲁，库斯科古城 (Peru, Cusco)
秘鲁，的的喀喀湖 (Peru, Lake Titicaca)
秘鲁，纳斯卡线条 (Peru, Nazca Lines)
秘鲁，科尔卡峡谷 (Peru, Colca Canyon)
巴西，里约热内卢基督像 (Brazil, Christ the Redeemer)
巴西，伊瓜苏瀑布 (Brazil, Iguazu Falls)
巴西，亚马逊雨林 (Brazil, Amazon Rainforest)
巴西，巴西利亚大教堂 (Brazil, Brasília Cathedral)
巴西，萨尔瓦多佩洛尼奥老城 (Brazil, Pelourinho)
阿根廷，布宜诺斯艾利斯方尖碑 (Argentina, Obelisco)
阿根廷，伊瓜苏瀑布 (Argentina, Iguazu Falls)
阿根廷，莫雷诺冰川 (Argentina, Perito Moreno Glacier)
智利，圣地亚哥武器广场 (Chile, Plaza de Armas)
智利，复活节岛摩艾石像 (Chile, Moai)
智利，阿塔卡马沙漠 (Chile, Atacama Desert)
智利，百内国家公园 (Chile, Torres del Paine National Park)
玻利维亚，乌尤尼盐沼 (Bolivia, Uyuni Salt Flats)
玻利维亚，的的喀喀湖 (Bolivia, Lake Titicaca)
玻利维亚，拉巴斯月亮谷 (Bolivia, Valley of the Moon)
巴拉圭，亚松森独立之家 (Paraguay, Casa de la Independencia)
乌拉圭，蒙得维的亚独立广场 (Uruguay, Independence Square)
古巴，哈瓦那老城 (Cuba, Old Havana)
古巴，特立尼达古镇 (Cuba, Trinidad)
牙买加，邓斯河瀑布 (Jamaica, Dunn's River Falls)
巴哈马，拿骚亚特兰蒂斯度假村 (Bahamas, Atlantis Paradise Island)
巴巴多斯，布里奇敦卡莱尔花园 (Barbados, Carlisle Bay)
格林纳达，大安斯海滩 (Grenada, Grand Anse Beach)
多米尼克，博伊尔湖 (Dominica, Boeri Lake)
圣卢西亚，皮通山 (Saint Lucia, Pitons)
安提瓜和巴布达，纳尔逊船坞 (Antigua and Barbuda, Nelson's Dockyard)
圣基茨和尼维斯，巴斯特尔独立广场 (Saint Kitts and Nevis, Independence Square)
多米尼加共和国，圣多明各殖民区 (Dominican Republic, Colonial Zone)
海地，太子港萨卢特要塞 (Haiti, Citadelle Laferrière)
波多黎各，圣胡安老城 (Puerto Rico, Old San Juan)
美属维尔京群岛，圣托马斯岛夏洛特阿马利亚 (US Virgin Islands, Charlotte Amalie)
英属维尔京群岛，托尔托拉岛罗德城 (British Virgin Islands, Road Town)
开曼群岛，乔治敦七英里海滩 (Cayman Islands, Seven Mile Beach)
百慕大，汉密尔顿皇家海军船坞 (Bermuda, Royal Naval Dockyard)
格陵兰，伊卢利萨特冰峡湾 (Greenland, Ilulissat Icefjord)
法罗群岛，托尔斯港 (Faroe Islands, Tórshavn)
法罗群岛，米克拉达穆尔悬崖 (Faroe Islands, Múlagljúfur)
塞浦路斯，帕福斯考古公园 (Cyprus, Paphos Archaeological Park)
塞浦路斯，特罗多斯山区 (Cyprus, Troodos Mountains)
马耳他，瓦莱塔古城 (Malta, Valletta)
马耳他，蓝洞 (Malta, Blue Grotto)
马耳他，姆迪纳古城 (Malta, Mdina)
安道尔，安道尔城圣埃斯特凡教堂 (Andorra, Sant Esteve Church)
摩纳哥，蒙特卡洛赌场 (Monaco, Monte Carlo Casino)
列支敦士登，瓦杜兹城堡 (Liechtenstein, Vaduz Castle)
圣马力诺，圣马力诺古城 (San Marino, San Marino City)
梵蒂冈，圣彼得大教堂 (Vatican, St. Peter's Basilica)
梵蒂冈，西斯廷教堂 (Vatican, Sistine Chapel)
梵蒂冈，梵蒂冈博物馆 (Vatican, Vatican Museums)
希腊，雅典卫城 (Greece, Acropolis of Athens)
希腊，圣托里尼岛 (Greece, Santorini)
希腊，米科诺斯岛 (Greece, Mykonos)
希腊，迈泰奥拉修道院 (Greece, Meteora Monasteries)
希腊，德尔斐遗址 (Greece, Delphi)
希腊，奥林匹亚遗址 (Greece, Olympia)
希腊，罗德岛中世纪古城 (Greece, Medieval City of Rhodes)
阿尔巴尼亚，地拉那金字塔 (Albania, Tirana Pyramid)
阿尔巴尼亚，布特林特遗址 (Albania, Butrint)
黑山，科托尔古城 (Montenegro, Kotor Old Town)
黑山，杜米托尔国家公园 (Montenegro, Durmitor National Park)
塞尔维亚，贝尔格莱德卡莱梅格丹要塞 (Serbia, Kalemegdan Fortress)
塞尔维亚，斯图代尼察修道院 (Serbia, Studenica Monastery)
北马其顿，奥赫里德湖 (North Macedonia, Lake Ohrid)
波斯尼亚和黑塞哥维那，莫斯塔尔老桥 (Bosnia and Herzegovina, Stari Most)
波斯尼亚和黑塞哥维那，萨拉热窝拉丁桥 (Bosnia and Herzegovina, Latin Bridge)
克罗地亚，克罗地亚普利特维采湖 (Croatia, Plitvice Lakes, Croatia)
克罗地亚，杜布罗夫尼克古城 (Croatia, Dubrovnik Old Town)
克罗地亚，斯普利特戴克里先宫 (Croatia, Diocletian's Palace)
斯洛文尼亚，布莱德湖 (Slovenia, Lake Bled)
斯洛文尼亚，波斯托伊纳溶洞 (Slovenia, Postojna Cave)
斯洛伐克，布拉迪斯拉发城堡 (Slovakia, Bratislava Castle)
斯洛伐克，塔特拉山 (Slovakia, High Tatras)
罗马尼亚，布拉索夫黑教堂 (Romania, Black Church)
罗马尼亚，多瑙河三角洲 (Romania, Danube Delta)
罗马尼亚，锡吉什瓦拉古城 (Romania, Sighișoara)
保加利亚，里拉修道院 (Bulgaria, Rila Monastery)
保加利亚，内塞伯尔古城 (Bulgaria, Nessebar)
保加利亚，索非亚历山大涅夫斯基大教堂 (Bulgaria, Alexander Nevsky Cathedral)
