id;iso_lang_code_set1;language;iso_lang_code_set2;family;wikipedia_link
56;is;Icelandic;isl;Indo-European;https://en.wikipedia.org/wiki/Icelandic_language
24;it;Italian;ita;Indo-European;https://en.wikipedia.org/wiki/Italian_language
103;ja;Japanese;jpn;Other;https://en.wikipedia.org/wiki/Japanese_language
78;jv;Javanese;jav;Austronesian;https://en.wikipedia.org/wiki/Javanese_language
105;ka;Georgian;kat;Other;https://en.wikipedia.org/wiki/Georgian_language
93;kk;Kazakh;kaz;Turkic;https://en.wikipedia.org/wiki/Kazakh_language
102;km;Khmer;khm;Austroasiatic;https://en.wikipedia.org/wiki/Khmer_language
88;kn;Kannada;kan;Dravidian;https://en.wikipedia.org/wiki/Kannada_language
104;ko;Korean;kor;Other;https://en.wikipedia.org/wiki/Korean_language
30;lb;Luxembourgish;ltz;Indo-European;https://en.wikipedia.org/wiki/Luxembourgish
58;li;Limburgish;lim;Indo-European;https://en.wikipedia.org/wiki/Limburgish
97;lo;Lao;lao;Tai-Kadai;https://en.wikipedia.org/wiki/Lao_language
17;lt;Lithuanian;lit;Indo-European;https://en.wikipedia.org/wiki/Lithuanian_language
23;lv;Latvian;lav;Indo-European;https://en.wikipedia.org/wiki/Latvian_language
61;mk;Macedonian;mkd;Indo-European;https://en.wikipedia.org/wiki/Macedonian_language
89;ml;Malayalam;mal;Dravidian;https://en.wikipedia.org/wiki/Malayalam
27;mr;Marathi;mar;Indo-European;https://en.wikipedia.org/wiki/Marathi_language
75;ms;Malay;msa;Austronesian;https://en.wikipedia.org/wiki/Malay_language
73;mt;Maltese;mlt;Afro-Asiatic;https://en.wikipedia.org/wiki/Maltese_language
70;my;Burmese;mya;Sino-Tibetan;https://en.wikipedia.org/wiki/Burmese_language
18;nb;Norwegian Bokmål;nob;Indo-European;https://en.wikipedia.org/wiki/Bokm%C3%A5l
26;ne;Nepali;nep;Indo-European;https://en.wikipedia.org/wiki/Nepali_language
13;nl;Dutch;nld;Indo-European;https://en.wikipedia.org/wiki/Dutch_language
19;nn;Norwegian Nynorsk;nno;Indo-European;https://en.wikipedia.org/wiki/Nynorsk
25;oc;Occitan;oci;Indo-European;https://en.wikipedia.org/wiki/Occitan_language
46;or;Oriya;ori;Indo-European;https://en.wikipedia.org/wiki/Odia_language
44;pa;Punjabi;pan;Indo-European;https://en.wikipedia.org/wiki/Punjabi_language
16;pl;Polish;pol;Indo-European;https://en.wikipedia.org/wiki/Polish_language
2;pt;Portuguese;por;Indo-European;https://en.wikipedia.org/wiki/Portuguese_language
4;ro;Romanian;ron;Indo-European;https://en.wikipedia.org/wiki/Romanian_language
8;ru;Russian;rus;Indo-European;https://en.wikipedia.org/wiki/Russian_language
53;sc;Sardinian;srd;Indo-European;https://en.wikipedia.org/wiki/Sardinian_language
40;sd;Sindhi;snd;Indo-European;https://en.wikipedia.org/wiki/Sindhi_language
62;si;Sinhala;sin;Indo-European;https://en.wikipedia.org/wiki/Sinhala_language
14;sk;Slovak;slk;Indo-European;https://en.wikipedia.org/wiki/Slovak_language
21;sl;Slovenian;slv;Indo-European;https://en.wikipedia.org/wiki/Slovene_language
29;sr;Serbian;srp;Indo-European;https://en.wikipedia.org/wiki/Serbian_language
79;su;Sundanese;sun;Austronesian;https://en.wikipedia.org/wiki/Sundanese_language
5;sv;Swedish;swe;Indo-European;https://en.wikipedia.org/wiki/Swedish_language
111;sw;Swahili;swa;Other;https://en.wikipedia.org/wiki/Swahili_language
86;ta;Tamil;tam;Dravidian;https://en.wikipedia.org/wiki/Tamil_language
87;te;Telugu;tel;Dravidian;https://en.wikipedia.org/wiki/Telugu_language
47;tg;Tajik;tgk;Indo-European;https://en.wikipedia.org/wiki/Tajik_language
96;th;Thai;tha;Tai-Kadai;https://en.wikipedia.org/wiki/Thai_language
76;tl;Tagalog;tgl;Austronesian;https://en.wikipedia.org/wiki/Tagalog_language
90;tr;Turkish;tur;Turkic;https://en.wikipedia.org/wiki/Turkish_language
95;tt;Tatar;tat;Turkic;https://en.wikipedia.org/wiki/Tatar_language
11;uk;Ukrainian;ukr;Indo-European;https://en.wikipedia.org/wiki/Ukrainian_language
63;ur;Urdu;urd;Indo-European;https://en.wikipedia.org/wiki/Urdu
92;uz;Northern Uzbek;uzb;Turkic;https://en.wikipedia.org/wiki/Uzbek_language
101;vi;Vietnamese;vie;Austroasiatic;https://en.wikipedia.org/wiki/Vietnamese_language
48;yi;Eastern Yiddish;ydd;Indo-European;https://en.wikipedia.org/wiki/Yiddish_language
67;zh;Chinese (Simplified);zho;Sino-Tibetan;https://en.wikipedia.org/wiki/Simplified_Chinese_characters
68;zh;Chinese (Traditional);zho;Sino-Tibetan;https://en.wikipedia.org/wiki/Traditional_Chinese_characters
31;;Venetian;vec;Indo-European;https://en.wikipedia.org/wiki/Venetian_language
34;;Silesian;szl;Indo-European;https://en.wikipedia.org/wiki/Silesian_language
35;;Asturian;ast;Indo-European;https://en.wikipedia.org/wiki/Asturian_language
36;;Chhattisgarhi;hne;Indo-European;https://en.wikipedia.org/wiki/Chhattisgarhi_language
37;;Awadhi;awa;Indo-European;https://en.wikipedia.org/wiki/Awadhi_language
38;;Maithili;mai;Indo-European;https://en.wikipedia.org/wiki/Maithili_language
39;;Bhojpuri;bho;Indo-European;https://en.wikipedia.org/wiki/Bhojpuri_language
49;;Lombard;lmo;Indo-European;https://en.wikipedia.org/wiki/Lombard_language
50;;Ligurian;lij;Indo-European;https://en.wikipedia.org/wiki/Ligurian_language
51;;Sicilian;scn;Indo-European;https://en.wikipedia.org/wiki/Sicilian_language
52;;Friulian;fur;Indo-European;https://en.wikipedia.org/wiki/Friulian_language
57;;Tosk Albanian;als;Indo-European;https://en.wikipedia.org/wiki/Tosk_Albanian
59;;Dari;prs;Indo-European;https://en.wikipedia.org/wiki/Dari_language
64;;Magahi;mag;Indo-European;https://en.wikipedia.org/wiki/Magahi_language
69;;Cantonese;yue;Sino-Tibetan;https://en.wikipedia.org/wiki/Cantonese
77;;Cebuano;ceb;Austronesian;https://en.wikipedia.org/wiki/Cebuano_language
80;;Minangkabau;min;Austronesian;https://en.wikipedia.org/wiki/Minangkabau_language
81;;Balinese;ban;Austronesian;https://en.wikipedia.org/wiki/Balinese_language
82;;Banjar;bjn;Austronesian;https://en.wikipedia.org/wiki/Banjar_language
83;;Pangasinan;pag;Austronesian;https://en.wikipedia.org/wiki/Pangasinan_language
84;;Iloko;ilo;Austronesian;https://en.wikipedia.org/wiki/Ilocano_language
85;;Waray;war;Austronesian;https://en.wikipedia.org/wiki/Waray_language
108;;Papiamento;pap;Other;https://en.wikipedia.org/wiki/Papiamento
109;;Kabuverdianu;kea;Other;https://en.wikipedia.org/wiki/Cape_Verdean_Creole
110;;Tok Pisin;tpi;Other;https://en.wikipedia.org/wiki/Tok_Pisin
