# 地点选项 / Location Options
中国 | 长城 (Great Wall)
美国 | 林肯纪念堂 (Lincoln Memorial)
美国 | 白宫 (White House)
美国 | 芝加哥云门 (Cloud Gate)
美国 | 好莱坞标志 (Hollywood Sign)
美国 | 拉斯维加斯大道 (Las Vegas Strip)
美国 | 旧金山渔人码头 (Fisherman's Wharf)
美国 | 西雅图太空针塔 (Space Needle)
美国 | 波士顿自由之路 (Freedom Trail)
美国 | 费城自由钟 (Liberty Bell)
美国 | 尼亚加拉大瀑布 (Niagara Falls)
美国 | 黄石国家公园 (Yellowstone National Park)
美国 | 夏威夷火山国家公园 (Hawaii Volcanoes National Park)
加拿大 | 多伦多CN塔 (CN Tower)
加拿大 | 温哥华斯坦利公园 (Stanley Park)
加拿大 | 蒙特利尔圣母大教堂 (Notre-Dame Basilica)
加拿大 | 魁北克老城 (Old Quebec)
加拿大 | 班夫国家公园 (Banff National Park)
墨西哥 | 墨西哥城宪法广场 (Zócalo)
墨西哥 | 奇琴伊察 (Chichen Itza)
墨西哥 | 特奥蒂瓦坎 (Teotihuacan)
墨西哥 | 瓜纳华托 (Guanajuato)
秘鲁 | 马丘比丘 (Machu Picchu)
秘鲁 | 库斯科古城 (Cusco)
巴西 | 里约热内卢基督像 (Christ the Redeemer)
巴西 | 伊瓜苏瀑布 (Iguazu Falls)
阿根廷 | 布宜诺斯艾利斯方尖碑 (Obelisco)
智利 | 圣地亚哥武器广场 (Plaza de Armas)
智利 | 复活节岛摩艾石像 (Moai)
玻利维亚 | 乌尤尼盐沼 (Uyuni Salt Flats)
厄瓜多尔 | 加拉帕戈斯群岛 (Galapagos Islands)
埃及 | 金字塔 (Pyramids of Giza)
埃及 | 狮身人面像 (Great Sphinx of Giza)
埃及 | 卡纳克神庙 (Karnak Temple)
埃及 | 帝王谷 (Valley of the Kings)
埃及 | 卢克索神庙 (Luxor temple)
