"name","prompt","negative_prompt","thumbnail"
"Focused suspicion narrowed eyes","Shift the facial expression to focused suspicion with eyes narrowed to slits, head slightly tilted down, and a tight straight mouth.","","expression/focused_suspicion_with_eyes_narrowed_to_slits_head_slightly_tilted_down_and_a_tight_straight_mouth.jpg"
"Blissful daydream unfocused gaze","Shift the facial expression to blissful daydream with soft unfocused eyes, a gentle absent-minded smile, and relaxed brows.","","expression/blissful_daydream_with_soft_unfocused_eyes_a_gentle_absent-minded_smile_and_relaxed_brows.jpg"
"Jealous bitterness crooked smirk","Shift the facial expression to jealous bitterness with one eye squinted more than the other and a scornful half-smile.","","expression/jealous_bitterness_with_one_eye_squinted_more_than_the_other_and_a_scornful_half-smile.jpg"
"Jump scare startled fear","Shift the facial expression to startled fear like a jump scare with eyes and mouth both maximally widened and brows raised.","","expression/startled_fear_like_a_jump_scare_with_eyes_and_mouth_both_maximally_widened_and_brows_raised.jpg"
"Warm affection soft eyes","Shift the facial expression to warm affection with soft eyes, a gentle tilted smile, and slightly raised inner brows.","","expression/warm_affection_with_soft_eyes_a_gentle_tilted_smile_and_slightly_raised_inner_brows.jpg"
"Vicious snarl bared teeth","Shift the facial expression to vicious snarl with teeth exposed, nose deeply wrinkled, and eyes glaring with hatred.","","expression/vicious_snarl_with_teeth_exposed_nose_deeply_wrinkled_and_eyes_glaring_with_hatred.jpg"
"Calm meditation closed eyes","Shift the facial expression to calm meditation with eyes gently closed, face completely symmetrical and relaxed, mouth closed.","","expression/calm_meditation_with_eyes_gently_closed_face_completely_symmetrical_and_relaxed_mouth_closed.jpg"
"Curious intrigue one brow higher","Shift the facial expression to curious intrigue with one eyebrow arched higher, a slight head tilt implied, and parted lips.","","expression/curious_intrigue_with_one_eyebrow_arched_higher_a_slight_head_tilt_implied_and_parted_lips.jpg"
"Horrified disgust wrinkled nose","Shift the facial expression to horrified disgust with eyes wide in shock combined with a wrinkled nose and curled upper lip.","","expression/horrified_disgust_with_eyes_wide_in_shock_combined_with_a_wrinkled_nose_and_curled_upper_lip.jpg"
"Euphoric ecstasy rolled eyes","Shift the facial expression to euphoric ecstasy with eyes rolled slightly back, mouth wide in a breathless smile, and raised brows.","","expression/euphoric_ecstasy_with_eyes_rolled_slightly_back_mouth_wide_in_a_breathless_smile_and_raised_brows.jpg"
"Accusatory glare hard mouth","Shift the facial expression to accusatory glare with eyebrows sharply lowered, eyes intense and unblinking, and a hard straight mouth.","","expression/accusatory_glare_with_eyebrows_sharply_lowered_eyes_intense_and_unblinking_and_a_hard_straight_mouth.jpg"
"Shy embarrassment awkward smile","Shift the facial expression to shy embarrassment with cheeks slightly lifted in an awkward smile, eyes looking down, and a pressed mouth.","","expression/shy_embarrassment_with_cheeks_slightly_lifted_in_an_awkward_smile_eyes_looking_down_and_a_pressed_mouth.jpg"
"Maniacal glee wild grin","Shift the facial expression to maniacal glee with eyes wide and wild, a huge unhinged grin, and brows raised unevenly.","","expression/maniacal_glee_with_eyes_wide_and_wild_a_huge_unhinged_grin_and_brows_raised_unevenly.jpg"
"Exhausted defeat hollow stare","Shift the facial expression to exhausted defeat with eyes half-closed and hollow, mouth slightly open and slack, and brows neutral.","","expression/exhausted_defeat_with_eyes_half-closed_and_hollow_mouth_slightly_open_and_slack_and_brows_neutral.jpg"
"Sarcastic smirk eye roll","Shift the facial expression to sarcastic smirk with one corner of the mouth pulled back sharply, eyes rolling slightly, and one brow raised.","","expression/sarcastic_smirk_with_one_corner_of_the_mouth_pulled_back_sharply_eyes_rolling_slightly_and_one_brow_raised.jpg"
"Broken heart trembling lip","Shift the facial expression to devastated heartbreak with eyes flooded but not falling, lower lip trembling severely, and brow deeply creased.","","expression/devastated_heartbreak_with_eyes_flooded_but_not_falling_lower_lip_trembling_severely_and_brow_deeply_creased.jpg"
"Feral hunger dilated pupils","Shift the facial expression to feral hunger with eyes dilated, nostrils flared, lips slightly parted showing teeth, and brows lowered.","","expression/feral_hunger_with_eyes_dilated_nostrils_flared_lips_slightly_parted_showing_teeth_and_brows_lowered.jpg"
"Innocent pleading wide wet eyes","Shift the facial expression to innocent pleading with eyes wide and wet, inner brows raised, and lower lip pushed out in a subtle pout.","","expression/innocent_pleading_with_eyes_wide_and_wet_inner_brows_raised_and_lower_lip_pushed_out_in_a_subtle_pout.jpg"
"Vicious mockery toothy sneer","Shift the facial expression to vicious mockery with a toothy sneer, eyes crinkled in fake joy, and brows raised theatrically.","","expression/vicious_mockery_with_a_toothy_sneer_eyes_crinkled_in_fake_joy_and_brows_raised_theatrically.jpg"
"Serene acceptance closed eyes","Shift the facial expression to serene acceptance with soft closed eyes, a barely visible gentle smile, and completely smooth brow.","","expression/serene_acceptance_with_soft_closed_eyes_a_barely_visible_gentle_smile_and_completely_smooth_brow.jpg"
"Explosive rage silent yell","Shift the facial expression to explosive rage with mouth open in a silent yell, eyes bulging, and brows pulled down dramatically.","","expression/explosive_rage_with_mouth_open_in_a_silent_yell_eyes_bulging_and_brows_pulled_down_dramatically.jpg"
"Coy invitation look up","Shift the facial expression to coy invitation with eyes looking up from a slightly lowered chin, a small secret smile, and relaxed brows.","","expression/coy_invitation_with_eyes_looking_up_from_a_slightly_lowered_chin_a_small_secret_smile_and_relaxed_brows.jpg"
"Stunned silence ajar mouth","Shift the facial expression to stunned silence with mouth slightly ajar, eyes wide and frozen, and eyebrows raised but unmoving.","","expression/stunned_silence_with_mouth_slightly_ajar_eyes_wide_and_frozen_and_eyebrows_raised_but_unmoving.jpg"
"Grim determination hard line mouth","Shift the facial expression to grim determination with mouth set in a hard line, eyes focused with a slight squint, and brows lowered firmly.","","expression/grim_determination_with_mouth_set_in_a_hard_line_eyes_focused_with_a_slight_squint_and_brows_lowered_firmly.jpg"
"Playful disgust wrinkled nose","Shift the facial expression to playful disgust like reacting to a bad smell with nose wrinkled, eyes squinted, and a closed-mouth grimace.","","expression/playful_disgust_like_reacting_to_a_bad_smell_with_nose_wrinkled_eyes_squinted_and_a_closed-mouth_grimace.jpg"
"Hopeful anticipation wide eyes","Shift the facial expression to hopeful anticipation with eyes slightly widened, eyebrows raised expectantly, and a small hopeful smile.","","expression/hopeful_anticipation_with_eyes_slightly_widened_eyebrows_raised_expectantly_and_a_small_hopeful_smile.jpg"
"Bitter resentment sideways glance","Shift the facial expression to bitter resentment with a tight-pressed mouth, eyes looking sideways, and one brow slightly lower than the other.","","expression/bitter_resentment_with_a_tight-pressed_mouth_eyes_looking_sideways_and_one_brow_slightly_lower_than_the_other.jpg"
"Unconditional love shining eyes","Shift the facial expression to unconditional love with soft shining eyes, a gentle open-mouth exhale of a smile, and relaxed raised brows.","","expression/unconditional_love_with_soft_shining_eyes_a_gentle_open-mouth_exhale_of_a_smile_and_relaxed_raised_brows.jpg"
"Paranoid fear darting eyes","Shift the facial expression to paranoid fear with eyes darting to the extreme side, brows raised in tension, and a tight straight mouth.","","expression/paranoid_fear_with_eyes_darting_to_the_extreme_side_brows_raised_in_tension_and_a_tight_straight_mouth.jpg"
"Wicked cunning narrowed eyes","Shift the facial expression to wicked cunning with eyes narrowed into slits, a slow deliberate smirk, and one brow raised.","","expression/wicked_cunning_with_eyes_narrowed_into_slits_a_slow_deliberate_smirk_and_one_brow_raised.jpg"
"Profound boredom heavy eyelids","Shift the facial expression to profound boredom with eyelids heavy, eyes completely unfocused, and lips slightly parted but expressionless.","","expression/profound_boredom_with_eyelids_heavy_eyes_completely_unfocused_and_lips_slightly_parted_but_expressionless.jpg"
"Overjoyed screaming wide mouth","Shift the facial expression to overjoyed screaming with mouth wide in a cheer, eyes squeezed shut or wide with joy, and brows raised.","","expression/overjoyed_screaming_with_mouth_wide_in_a_cheer_eyes_squeezed_shut_or_wide_with_joy_and_brows_raised.jpg"
"Tortured agony pain grimace","Shift the facial expression to tortured agony with mouth stretched wide in a grimace, eyes squeezed shut with tears, and brow deeply furrowed.","","expression/tortured_agony_with_mouth_stretched_wide_in_a_grimace_eyes_squeezed_shut_with_tears_and_brow_deeply_furrowed.jpg"
"Dismissive scorn looking down nose","Shift the facial expression to dismissive scorn with a sharp exhale implied, curled lip on one side, and eyes looking down the nose.","","expression/dismissive_scorn_with_a_sharp_exhale_implied_curled_lip_on_one_side_and_eyes_looking_down_the_nose.jpg"
"Mystical trance rolled up eyes","Shift the facial expression to mystical trance with eyes rolled slightly upward, mouth slightly open, and completely relaxed vacant expression.","","expression/mystical_trance_with_eyes_rolled_slightly_upward_mouth_slightly_open_and_completely_relaxed_vacant_expression.jpg"
"Humiliated shame face down","Shift the facial expression to humiliated shame with face tilted down, eyes looking up only slightly, and lips pressed tightly together.","","expression/humiliated_shame_with_face_tilted_down_eyes_looking_up_only_slightly_and_lips_pressed_tightly_together.jpg"
"Eager excitement wide bright eyes","Shift the facial expression to eager excitement with wide bright eyes, eyebrows raised high, and a big open-mouthed grin.","","expression/eager_excitement_with_wide_bright_eyes_eyebrows_raised_high_and_a_big_open-mouthed_grin.jpg"
"Cold indifference deadpan stare","Shift the facial expression to cold indifference with eyes flat and deadpan, mouth in a neutral line, and brows completely relaxed.","","expression/cold_indifference_with_eyes_flat_and_deadpan_mouth_in_a_neutral_line_and_brows_completely_relaxed.jpg"
"Heartfelt apology soft sad eyes","Shift the facial expression to heartfelt apology with eyes soft and sad, inner brows raised, and a gentle apologetic frown.","","expression/heartfelt_apology_with_eyes_soft_and_sad_inner_brows_raised_and_a_gentle_apologetic_frown.jpg"
"Primal terror maximally wide","Shift the facial expression to primal terror with all facial features stretched maximally wide, mouth a silent scream, and eyes bulging.","","expression/primal_terror_with_all_facial_features_stretched_maximally_wide_mouth_a_silent_scream_and_eyes_bulging.jpg"
"Sultry confidence heavy eyelids","Shift the facial expression to sultry confidence with heavy-lidded eyes, a slow half-smile showing no teeth, and a slightly raised chin.","","expression/sultry_confidence_with_heavy-lidded_eyes_a_slow_half-smile_showing_no_teeth_and_a_slightly_raised_chin.jpg"
"Childlike tantrum anger cry","Shift the facial expression to childlike tantrum anger with mouth open in a cry, eyes squeezed shut, and brows pulled down.","","expression/childlike_tantrum_anger_with_mouth_open_in_a_cry_eyes_squeezed_shut_and_brows_pulled_down.jpg"
"Spiritual ecstasy closed eyes","Shift the facial expression to spiritual ecstasy with eyes closed, head tilted back slightly, and a soft blissful smile.","","expression/spiritual_ecstasy_with_eyes_closed_head_tilted_back_slightly_and_a_soft_blissful_smile.jpg"
"Suspicious doubt squinting eyes","Shift the facial expression to suspicious doubt with one brow lowered, eyes squinting slightly, and a crooked pursed mouth.","","expression/suspicious_doubt_with_one_brow_lowered_eyes_squinting_slightly_and_a_crooked_pursed_mouth.jpg"
"Overwhelming awe shining eyes","Shift the facial expression to overwhelming awe with eyes wide and shining, mouth slightly open, and brows raised softly.","","expression/overwhelming_awe_with_eyes_wide_and_shining_mouth_slightly_open_and_brows_raised_softly.jpg"
"Predatory focus intense stare","Shift the facial expression to predatory focus with eyes locked intensely, lips pulled back in a silent snarl, and brows lowered.","","expression/predatory_focus_with_eyes_locked_intensely_lips_pulled_back_in_a_silent_snarl_and_brows_lowered.jpg"
"Guilty shame avoiding gaze","Shift the facial expression to guilty shame with eyes avoiding the camera, lower lip tucked under, and brows knit together.","","expression/guilty_shame_with_eyes_avoiding_the_camera_lower_lip_tucked_under_and_brows_knit_together.jpg"
"Flippant irreverence crooked smirk","Shift the facial expression to flippant irreverence with a lopsided smirk, one eye slightly more closed, and a casual raised brow.","","expression/flippant_irreverence_with_a_lopsided_smirk_one_eye_slightly_more_closed_and_a_casual_raised_brow.jpg"
"Deep meditation closed eyes","Shift the facial expression to deep meditation with eyes closed, face completely still, mouth gently closed, and breath visible.","","expression/deep_meditation_with_eyes_closed_face_completely_still_mouth_gently_closed_and_breath_visible.jpg"
"Explosive laughter head thrown back","Shift the facial expression to explosive laughter with head thrown back, mouth wide, eyes completely squeezed shut, and visible tear ducts.","","expression/explosive_laughter_with_head_thrown_back_mouth_wide_eyes_completely_squeezed_shut_and_visible_tear_ducts.jpg"
"Petrified freeze locked stare","Shift the facial expression to petrified freeze with eyes locked in wide terror, mouth frozen in a tight grimace, and brows frozen high.","","expression/petrified_freeze_with_eyes_locked_in_wide_terror_mouth_frozen_in_a_tight_grimace_and_brows_frozen_high.jpg"
"Arrogant superiority looking down","Shift the facial expression to arrogant superiority with chin raised high, eyes looking down, and a barely visible smug smile.","","expression/arrogant_superiority_with_chin_raised_high_eyes_looking_down_and_a_barely_visible_smug_smile.jpg"
"Vulnerable fragility glassy eyes","Shift the facial expression to vulnerable fragility with eyes glassy and wide, lower lip slightly trembling, and brows raised in fear.","","expression/vulnerable_fragility_with_eyes_glassy_and_wide_lower_lip_slightly_trembling_and_brows_raised_in_fear.jpg"
"Sadistic pleasure cruel smile","Shift the facial expression to sadistic pleasure with eyes half-closed in enjoyment, a slow cruel smile, and relaxed brows.","","expression/sadistic_pleasure_with_eyes_half-closed_in_enjoyment_a_slow_cruel_smile_and_relaxed_brows.jpg"
"Absent-minded distraction gaze away","Shift the facial expression to absent-minded distraction with eyes looking off frame unfocused, mouth slightly ajar, and brows neutral.","","expression/absent-minded_distraction_with_eyes_looking_off_frame_unfocused_mouth_slightly_ajar_and_brows_neutral.jpg"
"Victorious triumph battle cry","Shift the facial expression to victorious triumph with mouth open in a battle cry, eyes wide with excitement, and brows raised.","","expression/victorious_triumph_with_mouth_open_in_a_battle_cry_eyes_wide_with_excitement_and_brows_raised.jpg"
"Smoldering intensity locked stare","Shift the facial expression to smoldering intensity with eyes locked on target, mouth closed and tight, and brows lowered sharply.","","expression/smoldering_intensity_with_eyes_locked_on_target_mouth_closed_and_tight_and_brows_lowered_sharply.jpg"
"Sincere gratitude warm eyes","Shift the facial expression to sincere gratitude with soft warm eyes, inner brows raised, and a gentle closed-lip smile.","","expression/sincere_gratitude_with_soft_warm_eyes_inner_brows_raised_and_a_gentle_closed-lip_smile.jpg"
"Manipulative charm wide smile","Shift the facial expression to manipulative charm with eyes bright and friendly, a wide practiced smile, and slightly raised brows.","","expression/manipulative_charm_with_eyes_bright_and_friendly_a_wide_practiced_smile_and_slightly_raised_brows.jpg"
"Hopeless despair empty eyes","Shift the facial expression to hopeless despair with eyes empty and wet, mouth slack and downturned, and brow completely furrowed.","","expression/hopeless_despair_with_eyes_empty_and_wet_mouth_slack_and_downturned_and_brow_completely_furrowed.jpg"
"Competitive fire narrowed eyes","Shift the facial expression to competitive fire with eyes narrowed in focus, nostrils flared, and mouth set in a determined line.","","expression/competitive_fire_with_eyes_narrowed_in_focus_nostrils_flared_and_mouth_set_in_a_determined_line.jpg"
"Gentle nostalgia far-off gaze","Shift the facial expression to gentle nostalgia with a soft far-off gaze, a barely there wistful smile, and relaxed brows.","","expression/gentle_nostalgia_with_a_soft_far-off_gaze_a_barely_there_wistful_smile_and_relaxed_brows.jpg"
"Hysterical panic darting eyes","Shift the facial expression to hysterical panic with eyes darting wildly, mouth open in a pant, and brows raised in chaos.","","expression/hysterical_panic_with_eyes_darting_wildly_mouth_open_in_a_pant_and_brows_raised_in_chaos.jpg"
"Reverent worship looking up","Shift the facial expression to reverent worship with eyes looking up softly, lips parted reverently, and brows raised in awe.","","expression/reverent_worship_with_eyes_looking_up_softly_lips_parted_reverently_and_brows_raised_in_awe.jpg"
"Devious scheming narrowed sideways","Shift the facial expression to devious scheming with eyes narrowed to slits looking sideways, and a slow spreading smirk.","","expression/devious_scheming_with_eyes_narrowed_to_slits_looking_sideways_and_a_slow_spreading_smirk.jpg"
"Peaceful sleep closed eyes","Shift the facial expression to peaceful sleep with eyes gently closed, lips slightly parted, and face completely relaxed.","","expression/peaceful_sleep_with_eyes_gently_closed_lips_slightly_parted_and_face_completely_relaxed.jpg"
"Defiant rebellion hard stare","Shift the facial expression to defiant rebellion with chin out, eyes locked in a hard stare, and mouth set in a firm line or sneer.","","expression/defiant_rebellion_with_chin_out_eyes_locked_in_a_hard_stare_and_mouth_set_in_a_firm_line_or_sneer.jpg"
"Ecstatic surprise wide mouth","Shift the facial expression to ecstatic surprise like winning with eyes wide and mouth open in a joyful shout, brows high.","","expression/ecstatic_surprise_like_winning_with_eyes_wide_and_mouth_open_in_a_joyful_shout_brows_high.jpg"
"Scornful rejection turned gaze","Shift the facial expression to scornful rejection with a full curled lip, eyes turned away, and an eyebrow raised in distaste.","","expression/scornful_rejection_with_a_full_curled_lip_eyes_turned_away_and_an_eyebrow_raised_in_distaste.jpg"
"Profound melancholy sad gaze","Shift the facial expression to profound melancholy with eyes distant and sad, mouth in a gentle sad frown, and brows slightly knit.","","expression/profound_melancholy_with_eyes_distant_and_sad_mouth_in_a_gentle_sad_frown_and_brows_slightly_knit.jpg"
"Animalistic rage silent snarl","Shift the facial expression to animalistic rage with lips pulled back in a silent snarl, eyes wide, and brows lowered menacingly.","","expression/animalistic_rage_with_lips_pulled_back_in_a_silent_snarl_eyes_wide_and_brows_lowered_menacingly.jpg"
"Bittersweet smile joy and sadness","Shift the facial expression to a subtle bittersweet smile with eyes holding both joy and sorrow.","","expression/a_subtle_bittersweet_smile_with_eyes_holding_both_joy_and_sorrow.jpg"
"Restrained anger clenched jaw","Shift the facial expression to restrained anger with clenched jaw, piercing eyes, and a forced neutral mouth.","","expression/restrained_anger_with_clenched_jaw_piercing_eyes_and_a_forced_neutral_mouth.jpg"
"Dazed confusion unfocused gaze","Shift the facial expression to dazed confusion with unfocused eyes, slightly parted lips, and a wrinkled forehead.","","expression/dazed_confusion_with_unfocused_eyes_slightly_parted_lips_and_a_wrinkled_forehead.jpg"
"Adoring gaze shining eyes","Shift the facial expression to adoring gaze with soft, shining eyes and a gentle, open-mouthed smile.","","expression/adoring_gaze_with_soft_shining_eyes_and_a_gentle_open-mouthed_smile.jpg"
"Mischievous wink playful smirk","Shift the facial expression to mischievous wink with one eye closed, a playful smirk, and a lifted brow.","","expression/mischievous_wink_with_one_eye_closed_a_playful_smirk_and_a_lifted_brow.jpg"
"Horrified realization slow open mouth","Shift the facial expression to horrified realization with eyes widening gradually and mouth dropping open in slow motion.","","expression/horrified_realization_with_eyes_widening_gradually_and_mouth_dropping_open_in_slow_motion.jpg"
"Smug self-satisfaction half-lidded eyes","Shift the facial expression to smug self-satisfaction with a closed-lip smirk, eyes half-lidded, and chin tilted up.","","expression/smug_self-satisfaction_with_a_closed-lip_smirk_eyes_half-lidded_and_chin_tilted_up.jpg"
"Desperate plea silent please","Shift the facial expression to desperate plea with brows raised in supplication, eyes wide, and lips forming a silent ""please"".","","expression/desperate_plea_with_brows_raised_in_supplication_eyes_wide_and_lips_forming_a_silent_please.jpg"
"Disdainful sneer curled lip","Shift the facial expression to disdainful sneer with one side of the upper lip curled and eyes narrowed in contempt.","","expression/disdainful_sneer_with_one_side_of_the_upper_lip_curled_and_eyes_narrowed_in_contempt.jpg"
"Glowing pride radiant smile","Shift the facial expression to glowing pride with a radiant smile, eyes crinkled at the corners, and head held high.","","expression/glowing_pride_with_a_radiant_smile_eyes_crinkled_at_the_corners_and_head_held_high.jpg"
"Sudden recognition oh mouth","Shift the facial expression to sudden recognition with eyebrows shooting up, eyes locking on, and mouth forming a small ""oh"".","","expression/sudden_recognition_with_eyebrows_shooting_up_eyes_locking_on_and_mouth_forming_a_small_oh.jpg"
"Tortured indecision furrowed brow","Shift the facial expression to tortured indecision with brows furrowed, eyes darting, and mouth pressed into a thin line.","","expression/tortured_indecision_with_brows_furrowed_eyes_darting_and_mouth_pressed_into_a_thin_line.jpg"
"Blissful contentment closed eyes","Shift the facial expression to blissful contentment with eyes closed, a peaceful smile, and completely relaxed facial muscles.","","expression/blissful_contentment_with_eyes_closed_a_peaceful_smile_and_completely_relaxed_facial_muscles.jpg"
"Furious accusation blazing eyes","Shift the facial expression to furious accusation with eyes blazing, mouth open in a shout, and brows pulled down sharply.","","expression/furious_accusation_with_eyes_blazing_mouth_open_in_a_shout_and_brows_pulled_down_sharply.jpg"
"Bashful shyness nervous smile","Shift the facial expression to bashful shyness with a downward glance, a nervous smile, and cheeks slightly lifted.","","expression/bashful_shyness_with_a_downward_glance_a_nervous_smile_and_cheeks_slightly_lifted.jpg"
"Eerie detachment blank stare through","Shift the facial expression to eerie detachment with a blank stare, no expression, and eyes that seem to look through you.","","expression/eerie_detachment_with_a_blank_stare_no_expression_and_eyes_that_seem_to_look_through_you.jpg"
"Wicked delight mischievous sparkle","Shift the facial expression to wicked delight with a wide grin, eyes sparkling with mischief, and brows raised playfully.","","expression/wicked_delight_with_a_wide_grin_eyes_sparkling_with_mischief_and_brows_raised_playfully.jpg"
"Sorrowful acceptance soft sad smile","Shift the facial expression to sorrowful acceptance with a soft sad smile, eyes slightly moist, and a gentle nod implied.","","expression/sorrowful_acceptance_with_a_soft_sad_smile_eyes_slightly_moist_and_a_gentle_nod_implied.jpg"
"Competitive glare fierce stare","Shift the facial expression to competitive glare with eyes locked fiercely, nostrils flared, and a tight, determined mouth.","","expression/competitive_glare_with_eyes_locked_fiercely_nostrils_flared_and_a_tight_determined_mouth.jpg"
"Dreamy infatuation unfocused gaze","Shift the facial expression to dreamy infatuation with eyes slightly unfocused, a soft sighing smile, and relaxed brows.","","expression/dreamy_infatuation_with_eyes_slightly_unfocused_a_soft_sighing_smile_and_relaxed_brows.jpg"
"Panicked alarm frozen gasp","Shift the facial expression to panicked alarm with wide eyes, brows raised in shock, and mouth frozen in a gasp.","","expression/panicked_alarm_with_wide_eyes_brows_raised_in_shock_and_mouth_frozen_in_a_gasp.jpg"
"Dry boredom flat stare","Shift the facial expression to dry boredom with a flat stare, slightly drooping eyelids, and a barely perceptible frown.","","expression/dry_boredom_with_a_flat_stare_slightly_drooping_eyelids_and_a_barely_perceptible_frown.jpg"
